GouldNumber,OriginalSubject,BaseFilename,FullFileName,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_CommonNameOnPiece,Bird_1_DateCreated,Bird_1_Medium,SubjectNote,Support,Artists-original,Artists,NamedArtists-original,NamedArtists,Book-ed,Book,Edition,Part,PlateNumber,SecondBook,SecondPart,SecondPlateNumber,PublicationNote,OriginalNoteworthyNote,OriginalNote,ArtistNote,GeneralNote,Size,ContentNote,PhysicalConditionNote,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_CommonNameOnPiece
0027b,Garrulax taivanus,ksrl_sc_gould_0027b,ksrl_sc_gould_0027v.tif,Garrulax,taivanus,,,crayon on paper,Garrulax taivanus,,,,,,AS_1,AS,1,5,58,,,,,,"Sketch by Gould., some additions by Richter; notes on color and form; comic doodle in corner.  Reverse: very rough outline sketch of Garrulus taivanus (Asia V:58); ""75.""  FS.",,See also image on other side.,,"Very rough outline sketch of Garrulus taivanus (Birds of Asia V:58); ""75""",Full sheet,,,
0027a,Garrulax ruficeps,ksrl_sc_gould_0027a,ksrl_sc_gould_0027.tif,Garrulax,ruficeps,,1864-04,pencil and watercolor paint on paper,Garrulax ruficeps,,G,JG,G;R,JG;R,AS_1,AS,1,3,50,,,,,,"Sketch by Gould., some additions by Richter; notes on color and form; comic doodle in corner.  Reverse: very rough outline sketch of Garrulus taivanus (Asia V:58); ""75.""  FS.","Sketch by Gould., some additions by Richter",See also image on other side.,,Notes on color and form; comic doodle in corner.,Full sheet,,,
764,Garrulax poecilorhyncha,ksrl_sc_gould_0764,ksrl_sc_gould_0764.tif,Garrulax,poecilorhyncha,,1864-04,pencil and watercolor paint on paper,Garrulax poecilorhyncha,,R,R,G;R,JG;R,AS_1,AS,1,3,51,,,,,,"Layout watercolor, birds finely finished; 7 notes on form: ""plant from Traviez [?]"" but a different tree used in the published plate; lengthy note in left top corner listing specific pigments; ""Cinclosoma"" [significance?]; some use of a gloss agent on both birds.  FS.",,,,"Layout watercolor, birds finely finished; 7 notes on form: ""plant from Traviez [?]"" but a different tree used in the published plate; lengthy note in left top corner listing specific pigments; ""Cinclosoma"" [significance?]; some use of a gloss agent on both birds.",Full sheet,,,
1937,Garrulax galbanus,ksrl_sc_gould_1937,ksrl_sc_gould_1937.tif,Garrulax,galbanus,,1875-03,pencil on paper,Garrulax galbanus,tissue,H,H,G;H,JG;H,AS_1,AS,1,3,52,,,,,,Tracing on tissue; graphited on reverse.,,Graphited on other side.,,Tracing on tissue.,,,,
311,Galloperdix zeylonensis,ksrl_sc_gould_0311,ksrl_sc_gould_0311.tif,Galloperdix,zeylonensis,,1854-07,pencil and watercolor paint on paper,Galloperdix zeylonensis,,G;R,JG;R,G;R,JG;R,AS_1,AS,1,6,67,,,,,,"Layout color sketch by Gould worked up by Richter and rough colored; Gould's changes pencilled in over the color; figures more spread out in published plate, and posture of the two lesser birds changed.  Sheet trimmed to ca. 33 x 49cm.",Layout color sketch by Gould worked up by Richter and rough colored; Gould's changes pencilled in over the color,,33 x 49cm,"Figures more spread out in published plate, and posture of the two lesser birds changed.",Sheet trimmed,,,
222,Galloperdix zeylonensis,ksrl_sc_gould_0222,ksrl_sc_gould_0222.tif,Galloperdix,zeylonensis,,1854-07,pencil and watercolor paint on paper,Galloperdix zeylonensis,,R,R,G;R,JG;R,AS_1,AS,1,6,67,,,,,,"Fairly advanced sketch by Richter, with color; corrections and overdrawing by Gould;  marginal sketches of heads and feather patterns.  FS, large corner torn off.","Fairly advanced sketch by Richter, with color; corrections and overdrawing by Gould;  marginal sketches of heads and feather patterns.",,,,"Full sheet, large corner torn off",,,
312,Galloperdix spadiceus,ksrl_sc_gould_0312,ksrl_sc_gould_0312.tif,Galloperdix,spadiceus,,1854-07,pencil and watercolor paint on paper,Galloperdix spadiceus,,R,R,G;R,JG;R,AS_1,AS,1,6,68,,,,,,Layout color sketch; much erasure and a little of Gould's work shows.  Sheet trimmed to ca. 33 x 49cm.,,,33 x 49cm,Layout color sketch; much erasure and a little of Gould's work shows.,Sheet trimmed,,,
225,Galloperdix spadiceus,ksrl_sc_gould_0225,ksrl_sc_gould_0225.tif,Galloperdix,spadiceus,,1854-07,pencil and watercolor paint on paper,Galloperdix spadiceus,,R,R,G;R,JG;R,AS_1,AS,1,6,68,,,,,,"Layout drawing, birds well finished; corrections.  After looking at Gould 0224, signed by Wolf, one finds it difficult not to suspect that Gould 0225's 3-dimensionality is also Wolf's.  FS","Comparing this to Gould 0224, signed by Wolf, it is difficult not to suspect that Gould 0225's 3-dimensionality is also Wolf's.",,,"Layout drawing, birds well finished; corrections.",Full sheet,,,
0820a,Galloperdix lunulosa,ksrl_sc_gould_0820a,ksrl_sc_gould_0820.tif,Galloperdix,lunulosa,,1854-07,pencil on paper,Galloperdix lunulosa,,R[?],R[?],G;R,JG;R,AS_1,AS,1,6,69,,,,,,"5 small, quick sketches of different positions: 2 of them appear to have been used for the subsidiary figures in the plate cited here; at foot: ""demand-neudles"" [?].    Reverse: rough outline of one of the sketches on the obverse, the more obvious model used in the plate.  Cf. Gould 0821.  28 x 38cm overall.",,See also image on other side.,28 x 38cm,"5 small, quick sketches of different positions: 2 of them appear to have been used for the subsidiary figures in the plate cited here; at foot: ""demand-neudles"" [?]. Cf. Gould 0821.",,,,
821,Galloperdix lunulosa,ksrl_sc_gould_0821,ksrl_sc_gould_0821.tif,Galloperdix,lunulosa,,1854-07,pencil on paper,Galloperdix lunulosa,,R[?],R[?],G;R,JG;R,AS_1,AS,1,6,69,,,,,,"5 sketches of the principal bird, the fifth well-defined and with some detail of plumage; 3 notes on color, 2 on form.  Cf. Gould 0820.  28 x 38cm.",,,28 x 38cm,"5 sketches of the principal bird, the fifth well-defined and with some detail of plumage; 3 notes on color, 2 on form.  Cf. Gould 0820A & B",,,,
0820b,Galloperdix lunulosa,ksrl_sc_gould_0820b,ksrl_sc_gould_0820v.tif,Galloperdix,lunulosa,,,pencil on paper,Galloperdix lunulosa,,,,,,,,,,,,,,,,"5 small, quick sketches of different positions: 2 of them appear to have been used for the subsidiary figures in the plate cited here; at foot: ""demand-neudles"" [?].    Reverse: rough outline of one of the sketches on the obverse, the more obvious model used in the plate.  Cf. Gould 0821.  28 x 38cm overall.",,See also image on other side.,28 x 38cm,"Rough outline of one of the sketches on the obverse, the more obvious model used in the plate. Cf. Gould 0821.",,,,
313,Galloperdix lunulosa,ksrl_sc_gould_0313,ksrl_sc_gould_0313.tif,Galloperdix,lunulosa,,1854-07,pencil and watercolor paint on paper,Galloperdix lunulosa,,R,R,G;R,JG;R,AS_1,AS,1,6,69,,,,,,"Layout sketch, by Gould, worked up by Richter, color added; change in layout, poses and number of birds in published plate.  Sheet trimmed to 32 x 46cm.","Layout sketch, by Gould, worked up by Richter, color added;",,32 x 46cm,"Change in layout, poses and number of birds in published plate.",Sheet trimmed,,,
224,Galloperdix lunlosa,ksrl_sc_gould_0224,ksrl_sc_gould_0224.tif,Galloperdix,lunlosa,,1854-07,pencil and watercolor paint on paper,Galloperdix lunlosa,,W,W,G;R,JG;R,AS_1,AS,1,6,69,,,,,,"Sketch, colored, birds well finished; signed ""Wolf"" in recognisable form (but, as indicated, credited to Gould & Richter in print); marginal sketches of feather lay and a duck's head (unrelated).  Reverse: rough sketch of leaves. FS, large corner torn off.","Sketch, colored, birds well finished; signed ""Wolf"" in recognisable form (but, as indicated, credited to Gould & Richter in print); marginal sketches of feather lay and a duck's head (unrelated).",Rough sketch of leaves on other side.,,,"Full sheet, large corner torn off.",,,
2298,Gallinula chloropus (egg),ksrl_sc_gould_2298,ksrl_sc_gould_2298.tif,Gallinula,chloropus,,,pencil and watercolor paint on paper,Gallinula chloropus (egg),,LG,LG,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Drawing of one egg.  At foot of page ""Moorhen / (Gallinulus chloropus) / LG June 3rd 1860.""   Previously cited as GCS O-3, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,28 x 19cm,"Drawing of one egg.  At foot of page ""Moorhen / (Gallinulus chloropus) / LG June 3rd 1860.""   Previously cited as GCS O-3, and so marked in pencil on reverse.",,,,
2299,Gallinula chloropus (egg),ksrl_sc_gould_2299,ksrl_sc_gould_2299.tif,Gallinula,chloropus,,,pencil and watercolor paint on paper,Gallinula chloropus (egg),,LG,LG,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Drawing of one egg; different from Gould 2298.  At foot of page ""Moorhen / (Gallinulus chloropus) / LG June 5th 1862.""   Previously cited as GCS O-4, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,28 x 19cm,"Drawing of one egg; different from Gould 2298.  At foot of page ""Moorhen / (Gallinulus chloropus) / LG June 5th 1862.""   Previously cited as GCS O-4, and so marked in pencil on reverse.",,,,
501,Gallinula chloropus,ksrl_sc_gould_0501,ksrl_sc_gould_0501.tif,Gallinula,chloropus,,1862,pencil on paper,Gallinula chloropus,,G[?],JG[?],G;R,JG;R,GB_1,GB,1,4,85,,,,,,"Conceptual sketch, completely different from published plate.  FS.",,,,"Conceptual sketch, completely different from published plate.",Full sheet,,,
560,Gallinula chloropus,ksrl_sc_gould_0560,ksrl_sc_gould_0560.tif,Gallinula,chloropus,,1862,pencil on paper,Gallinula chloropus,,R,R,G;R,JG;R,GB_1,GB,1,4,85,,,,,,"Layout drawing of Nymphaea alba (waterlily), with extensive color notes; rough outline sketch, by Gould, of main bird, drawn over the flower study, 2 others in background; birds and setting not as in published form; sketches of wheat (not relevant to this drawing) and detail of lily in margin.  FS.",,,,"Layout drawing of Nymphaea alba (waterlily), with extensive color notes; rough outline sketch, by Gould, of main bird, drawn over the flower study, 2 others in background; birds and setting not as in published form; sketches of wheat (not relevant to this drawing) and detail of lily in margin.",Full sheet,,,
262,Gallinula chloropus,ksrl_sc_gould_0262,ksrl_sc_gould_0262.tif,Gallinula,chloropus,,1862,pencil and watercolor paint on paper,Gallinula chloropus,,W,W,W;R,W;R,GB_1,GB,1,4,85,,,,,,"Highly finished watercolor of a chick--not used exactly as here, but four chicks in the published plate have similar appearances; 6 notes on form and color, most trimmed with loss; sketch of head structure of bird; ""Mitcham Grove / hatched 1st May / Two days old"".  Sheet trimmed to 18 x 25cm.",,,18 x 25cm,"Highly finished watercolor of a chick--not used exactly as here, but four chicks in the published plate have similar appearances; 6 notes on form and color, most trimmed with loss; sketch of head structure of bird; ""Mitcham Grove / hatched 1st May / Two days old"".",Sheet trimmed,,,
0266a,Gallinula chloropus,ksrl_sc_gould_0266a,ksrl_sc_gould_0266.tif,Gallinula,chloropus,,,pencil and watercolor paint on paper,Gallinula chloropus,,G,JG;R,W;R,W;R,GB_1,GB,1,4,85,,,,,,"Very rough pencil and watercolor sketch, probably by Richter working over Gould--hard to tell because of the weight of muddy color; heavily marked with corrections; marginal sketches of the birds; this is related to Gould 264 and 265.  Reverse: uncolored litho print of Alcedo guttatus.  FS","Very rough pencil and watercolor sketch, probably by Richter working over Gould--hard to tell because of the weight of muddy color.",See also image on other side.,,Heavily marked with corrections; marginal sketches of the birds; this is related to Gould 264a and 265a.,Full sheet,,,
396,Gallinula chloropus,ksrl_sc_gould_0396,ksrl_sc_gould_0396.tif,Gallinula,chloropus,,1862,pencil and watercolor paint on paper,Gallinula chloropus,,R,R,G;R,JG;R,GB_1,GB,1,4,85,,,,,,Reference drawing.  Highly finished study of head of a chick.  20 x 28cm.,,,20 x 28cm,Reference drawing.  Highly finished study of head of a chick.,,,,
1899,Gallinago scolopacinus,ksrl_sc_gould_1899,ksrl_sc_gould_1899.tif,Gallinago,scolopacina,,1863,pencil on paper,Gallinago scolopacinus,tissue,R,R,G;R,JG;R,GB_1,GB,1,4,79,,,,,,"Tracing on tissue; graphited on reverse.  Single young snipe, torn out (overall ca. 8 x 9cm).",,Gaphited on other side.,8 x 9cm,"Tracing on tissue.  Single one of the young snipe, torn out.",,,,
1868a,Gallinago scolopacinus,ksrl_sc_gould_1868a,ksrl_sc_gould_1868.tif,Gallinago,scolopacina,,1863,pencil on paper,Gallinago scolopacinus,waxed transparent paper,R,R,G;R,JG;R,GB_1,GB,1,4,79,,,,,,"Drawings of 2 birds (see also Gould 1868B) on waxed transparent paper, one above and upside-down to the other.",,See also image on other side.,,"Drawings of 2 birds (see also Gould 1868b) on waxed transparent paper, one above and upside-down to the other.",,,,
1099,Gallinago scolopacina,ksrl_sc_gould_1099,ksrl_sc_gould_1099.tif,Gallinago,scolopacina,,1863,pencil and watercolor paint on paper,Gallinago scolopacina,,,,G;R,JG;R,GB_1,GB,1,4,79,,,,,,"Reference painting, very well finished, 28 x 38 cm; 3 nestlings, plus detail renderings of an adult bill and leg; at foot of sheet: ""Young Common Snipe.""  Not used directly for the cited plate, indeed the body coloring and length of bills of the nestlings differ noticeably between drawing and published plate.  The adult bill, however, corresponds very closely.",,,8 x 38 cm,"Reference painting, very well finished; 3 nestlings, plus detail renderings  of an adult bill and leg; at foot of sheet: ""Young Common Snipe.""  Not used directly for the cited plate, indeed the body coloring and length of bills of the nestlings differ noticeably between drawing and published plate.  The adult bill, however, corresponds very closely.",,,,
1880,Gallinago major,ksrl_sc_gould_1880,ksrl_sc_gould_1880.tif,Gallinago,major,,1863,pencil on paper,Gallinago major,tissue,R,R,G;R,JG;R,GB_1,GB,1,4,78,,,,,,"Drawing on tissue.  Irregularly torn fragment, with some loss to both birds.",,,,Drawing on tissue.,"Irregularly torn fragment, with some loss to both birds.",,,
1876,Galerita cristata,ksrl_sc_gould_1876,ksrl_sc_gould_1876.tif,Galerita,cristata,,1866,pencil on paper,Galerita cristata,tissue,R,R,G;R,JG;R,GB_1,GB,1,3,17,,,,,,"Drawing on tissue.  A bird in flight and a small flower sketch in the upper margin, apparently not part of the composition.",,A bird in flight is on the other side which apparently  is not part of the composition.,,"Drawing on tissue.  A  small flower sketch in the upper margin, apparently not part of the composition.",,,,
"to Mintern).""",Full sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,Fuligula marila,ksrl_sc_gould_1621,ksrl_sc_gould_1621.tif,Fuligula,marila,,1869,pencil and pastel on paper,Fuligula marila,tissue,R,R,G;R,JG;R,GB_1,GB,1,5,24,,,,,,Drawing on tissue; some white pastel added; plants added in published plate.,,,,Drawing on tissue; some white pastel added; plants added in published plate.,,,,
389,Fulica atra,ksrl_sc_gould_0389,ksrl_sc_gould_0389.tif,Fulica,atra,,1862,pencil on paper,Fulica atra,,G,JG,W;R,W;R,GB_1,GB,1,4,84,,,,,,"2 small sketches of the head, with very lengthy notes on form and color; ""remarks on coot killed by peregrine falcon, sent up from Combe March 26th 56.  See letter from Burdett, Lord Craven's keeper.""",,,,"2 small sketches of the head, with very lengthy notes on form and color; ""remarks on coot killed by peregrine falcon, sent up from Combe March 26th 56.  See letter from Burdett, Lord Craven's keeper.""",,,,
1661,Fringilla nivalis,ksrl_sc_gould_1661,ksrl_sc_gould_1661.tif,Fringilla,nivalis,,1832-1837,pencil on paper,Fringilla nivalis,tissue,EG,EG,JG;EG,JG;EG,EU_1,EU,1,3,189,,,,,,"Tracing on tissue; reverse graphited.  The page is complete with carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,Graphited on the other side.,,"Tracing on tissue.  The page is complete with carefully lettered artist, title, and printer cutlines.   Reversed on the stone.",,,,
534,Fringilla montifringilla,ksrl_sc_gould_0534,ksrl_sc_gould_0534.tif,Fringilla,montifringilla,,1862,pencil on paper,Fringilla montifringilla,,R,R,G;R,JG;R,GB_1,GB,1,3,35,,,,,,"Layout drawing, the birds and most of the background quite finished; 7 notes on form and color; ""Bind here"" on left margin; money calculation in margin; ?remains of a large letter [section torn off], probably A.  Title in pencil by Sotheran, bookseller.  49 x 39cm.",,,49 x 39cm,"Layout drawing, the birds and most of the background quite finished; 7 notes on form and color; ""Bind here"" on left margin; money calculation in margin; ?remains of a large letter [section torn off], probably A.  Title in pencil by Sotheran, bookseller.",,,,
1654,Fringilla montifrigilla,ksrl_sc_gould_1654,ksrl_sc_gould_1654.tif,Fringilla,montifrigilla,,1832-1837,pencil on paper,Fringilla montifrigilla,tissue,EG,EG,JG;EG,JG;EG,EU_1,EU,1,3,,,,,,,"Tracing on tissue; reverse graphited.  The page is complete with the Goulds' signature in the drawing, and carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,Graphited on the other side.,,"Tracing on tissue.  The page is complete with the Goulds' signature in the drawing, and carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,,,
1652,Fringilla coelebs,ksrl_sc_gould_1652,ksrl_sc_gould_1652.tif,Fringilla,coelebs,,1832-1837,pencil on paper,Fringilla coelebs,tissue,EG,EG,JG;EG,JG;EG,EU_1,EU,1,3,187,,,,,,"Tracing on tissue; reverse graphited.  The page is complete with the Goulds' signature in the drawing, and carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,Graphited on the other side.,,"Tracing on tissue.  The page is complete with the Goulds' signature in the drawing, and carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,,,
356,Fringilla caelebs & [botanical],ksrl_sc_gould_0356,ksrl_sc_gould_0356.tif,Fringilla,caelebs,,1862,pencil and watercolor paint on paper,Fringilla caelebs & botanical,,,,G;R,JG;R,GB_1,GB,1,3,34,,,,,,"Highly finished painting of ""Wild crab gathered May 8th 58"". 2 birds roughly pencilled in.  FS.",,,,"Highly finished painting of ""Wild crab gathered May 8th 58"". 2 birds roughly pencilled in.",Full sheet,,,
2164,Fringilla caelebs,ksrl_sc_gould_2164,ksrl_sc_gould_2164.tif,Fringilla,caelebs,,1862,,Fringilla caelebs,,,,G;R,JG;R,GB_1,GB,1,3,34,,,,,,"Colored litho print.  In top right corner of reverse: ""K.""",,,,"Colored litho print.  In top right corner of reverse: ""K.""",,,,
1288a,Falco subniger,ksrl_sc_gould_1288a,ksrl_sc_gould_1288.tif,Falco,subniger,,1848,pencil and crayon on paper,Falco subniger,,R/G,R/JG,G;R [not published],JG;R,AU_1,AU,1,1,9,,,,Unpublished,Reverse: almost certainly Gould's work without addition.,"Obverse: In similar style to Gould 1287; most conceptual lines erased; a heavy black line around the outline of the bird, perhaps for tracing.  Reverse: layout sketch by Gould, somewhat similar in appearance and pose to Strix tenebricosus, Aust I: 30, but identification uncertain.  See general notes at Gould 1287.",,See General Notes at Gould 1287. See also image on other side.,,"In similar style to Gould 1287; most conceptual lines erased; a heavy black line around the outline of the bird, perhaps for tracing. See general notes at Gould 1287.",,,,
2326,Falco melanogenys (eggs),ksrl_sc_gould_2326,ksrl_sc_gould_2326.tif,Falco,melanogenys,,,,Falco melanogenys (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Colored litho print of 2 eggs, with printed title.  Identical with Gould 2327 except for minor details of hand coloring.  Previously cited as GCS O-31, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,28 x 19cm,"Colored litho print of 2 eggs, with printed title.  Identical with Gould 2327 except for minor details of hand coloring.  Previously cited as GCS O-31, and so marked in pencil on reverse.",,,,
2327,Falco melanogenys (eggs),ksrl_sc_gould_2327,ksrl_sc_gould_2327.tif,Falco,melanogenys,,,,Falco melanogenys (eggs),,,,,,,,,,,,,,Unpublished,,"See general Notes at Gould 2296.  Colored litho print of 2 eggs, with printed title.  Identical with Gould 2326 except for minor details of hand coloring.  Previously cited as GCS O-32, and so marked in pencil on reverse.  Gift of Dr. Gordon C. Sauer.",,See General Notes at Gould 2296.,28 x 19cm,"Colored litho print of 2 eggs, with printed title.  Identical with Gould 2326 except for minor details of hand coloring.  Previously cited as GCS O-32, and so marked in pencil on reverse.",,,,
596,Falco lanarius,ksrl_sc_gould_0596,ksrl_sc_gould_0596.tif,Falco,lanarius,,1868-04,"chalk, charcoal, and pastel on paper",Falco lanarius,,W,W,W;R,W;R,AS_1,AS,1,1,6,,,,,,"Layout drawing, loose but strong; published form includes various changes.  FS.",,,,"Layout drawing, loose but strong; published form includes various changes.",Full sheet,,,
1655,Falco islandicus,ksrl_sc_gould_1655,ksrl_sc_gould_1655.tif,Falco,islandicus,,1832-1837,pencil on paper,Falco islandicus,tissue,EG,EG,JG;EG,JG;EG,EU_1,EU,1,1,19,,,,,,"Tracing on tissue; reverse graphited.  The page is complete with carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,Graphited on the other side.,,"Tracing on tissue.  The page is complete with  carefully lettered artist, title, and printer cutlines.  Reversed on the stone.",,,,
0361b,Falco hypoleucus,ksrl_sc_gould_0361b,ksrl_sc_gould_0361v.tif,Falco,hypoleucus,,,pencil and watercolor paint on paper,Falco hypoleucus,,,,,,,,,,,,,,,,"Highly finished painting of Brugmansia sanguinea, incorporating the initials ""HCR.""  Reverse: uncolored litho print of Falco hypoleucus (from the canceled Birds of Australia, redrawn for the definitive work).  42 x 38cm.",,See also image on other side.,42 x 38cm,"Uncolored litho print of Falco hypoleucus (from the canceled Birds of Australia, redrawn for the definitive work).",,,,
0518b,Falco hypoleucus,ksrl_sc_gould_0518b,ksrl_sc_gould_0518v.tif,Falco,hypoleucus,,,,Falco hypoleucus,,,,,,,,,,,,,,,,"Pencil layout sketch: bird drawn in some detail, foliage in outline; notes on form and color.  Reverse:: uncolored litho print of Falco hypoleucus.  50 x 38cm.",,See also image on other side.,50 x 38cm,Uncolored litho print of Falco hypoleucus.,,,,
1287a,Falco hypoleucos,ksrl_sc_gould_1287a,ksrl_sc_gould_1287.tif,Falco,hypoleucos,,1841,pencil on paper,"Falco hypoleucos, Gould",,R;G[?],R;EG[?],G;R,JG;R,AU_1,AU,1,1,7,,,,,,"This is the first of 237 drawings (Gould 1287-1523) for Birds of Australia, bound in two volumes, the ""Jardine Albums.""  All but one of the leaves carry preprinted labels reading ""Original Design for Plate [  ] Vol. [  ] of Gould's BIRDS OF AUSTRALIA""; the first 87 of these were completed by hand with the binomial and plate and volume numbers; the remainder in the first volume (Gould 1374-1409),  other than a scattered 5 with nothing on the labels, have just volume and plate written in; in the second volume all but one of the drawings lack entries on the labels (the exception has no label), but have the numbers of volume and plate written in pencil on the leaf; many of the leaves in both volumes have been made up to a common size by the addition of carefully pasted fragments of paper.  Gould 1287 is a fairly finished drawing of 2 birds, with meticulous detail on one bill and eye, suggesting Mrs. Gould's hand; little or no background.  Evidence of erasure suggests that the final work work was done over Gould's initial sketch; some very heavy strokes on top appear to be Gould's later modifications.  Reverse: uncolored litho print of Euphema aurantia.",,"This is the first of 237 drawings (Gould 1287-1523) for Birds of Australia, bound in two volumes, the ""Jardine Albums.""  All but one of the leaves carry preprinted labels reading ""Original Design for Plate [  ] Vol. [  ] of Gould's BIRDS OF AUSTRALIA""; the first 87 of these were completed by hand with the binomial and plate and volume numbers; the remainder in the first volume (Gould 1374-1409),  other than a scattered 5 with nothing on the labels, have just volume and plate written in; in the second volume all but one of the drawings lack entries on the labels (the exception has no label), but have the numbers of volume and plate written in pencil on the leaf; many of the leaves in both volumes have been made up to a common size by the addition of carefully pasted fragments of paper. See also image on other side.",,"Gould 1287 is a fairly finished drawing of 2 birds, with meticulous detail on one bill and eye, suggesting Mrs. Gould's hand; little or no background.  Evidence of erasure suggests that the final work work was done over Gould's initial sketch; some very heavy strokes on top appear to be Gould's later modifications.",,,,
0496a,Falco frontatus,ksrl_sc_gould_0496a,ksrl_sc_gould_0496.tif,Falco,frontatus,,1841,pencil and watercolor paint on paper,Falco frontatus,,EG,EG,JG;EG,JG;EG,AU_1,AU,1,1,10,,,,,"Very good example of Elizabeth Gould's work, perhaps showing Lear's influence, but certainly much ahead of the static profiles of much of the Century.","Fine watercolor of primary bird, other bird and tree less advanced.   Reverse: note by Sotheran: ""776 / 7/'7/-""-- corresponding with the item no. and price given in Piccadilly Notes, 9.  FS.",,See also image on other side.,,"Fine watercolor of primary bird, other bird and tree less advanced.",Full sheet,,,
0496b,Falco frontatus,ksrl_sc_gould_0496b,ksrl_sc_gould_0496v.tif,Falco,frontatus,,,pencil and watercolor paint on paper,Falco frontatus,,,,,,,,,,,,,,,,"Fine watercolor of primary bird, other bird and tree less advanced.   Reverse: note by Sotheran: ""776 / 7/'7/-""-- corresponding with the item no. and price given in Piccadilly Notes, 9.  FS.",,See also image on other side.,,"Note by Sotheran: ""776 / 7/'7/-""-- corresponding with the item no. and price given in Piccadilly Notes, 9.",Full sheet,,,
2181,Falco chicquera,ksrl_sc_gould_2181,ksrl_sc_gould_2181.tif,Falco,chicquera,,1831-1833,,Falco chicquera,,EG,EG,EG,EG,HM_1,HM,1,1,2,,,,,,"Colored litho print.  At foot, right-angled to the plate, ""326"" in gray watercolor or faded ink.  See Notes to Gould 2179.",,See Notes to Gould 2179.,,"Colored litho print.  At foot, right-angled to the plate, ""326"" in gray watercolor or faded ink.",,,,
605,"Falco candidans, Iight race",ksrl_sc_gould_0605,ksrl_sc_gould_0605.tif,Falco,candidans,,1872,pencil on paper,"Falco candidans, Iight race",Laid correspondence paper,R[?],R[?],W;R,W;R,GB_1,GB,1,1,13,,,,,,"Quick outline sketch, apparently copied from the layout used for publication.  9 notes on color, and ""The plate wants variety and warmth witrh harmony of effect.  HCR."" all in Richter's hand.  These appear to be either Richter's suggestions for coloring, or his communication of Gould's requirements.  The published coloring follows the notes very closely.  Laid correspondence paper, ca. 18 x 11cm.",,,18 x 11cm,"Quick outline sketch, apparently copied from the layout used for publication.  9 notes on color, and ""The plate wants variety and warmth witrh harmony of effect.  HCR."" all in Richter's hand.  These appear to be either Richter's suggestions for coloring, or his communication of Gould's requirements.  The published coloring follows the notes very closely.",,,,
1734,Falco candicans,ksrl_sc_gould_1734,ksrl_sc_gould_1734.tif,Falco,candicans,,1873,pencil on paper,Falco candicans,tissue,W,W,W;H,W;H,GB_1,GB,1,1,14,,,,,,Tracing on tissue; graphited on reverse.,,Graphited on other side.,,Tracing on tissue.,,,,
1914,Excalfatoria chinensis,ksrl_sc_gould_1914,ksrl_sc_gould_1914.tif,Excalfatoria,chinensis,,1867-05,pencil on paper,Excalfatoria chinensis,tissue,R,R,G;R,JG;R,AS_1,AS,1,7,6,,,,,,Drawing on tissue.,,,,Drawing on tissue.,,,,
1555,Eutrygon terrestris,ksrl_sc_gould_1555,ksrl_sc_gould_1555.tif,Eutrygon,terrestris,,1882,pencil on paper,Eutrygon terrestris,tissue,H,H,G;H,JG;H,NG_1,NG,1,5,62,,,,,,Tracing on tissue.  Reverse: graphiting.,,Graphiting on other side.,,Tracing on tissue.,,,,
1036,Eutrygon terrestris,ksrl_sc_gould_1036,ksrl_sc_gould_1036.tif,Eutrygon,terrestris,,1882,"watercolor paint, chalk, charcoal, and pastel on paper",Eutrygon terrestris,,H,H,G;H,JG;H,NG_1,NG,1,5,62,,,,,,"Very finished painting; changed head position sketched in, with now illegible note (not followed in published plate); at head of sheet: ""L2-10- "" (not Sotheran's usual way of indicating price, and not in line with the note overleaf].  Reverse: ""1523  /  4/4/-  /  19  / 3273"" (Sotheran: see Gould 0969).   FS.",,"""1523  /  4/4/-  /  19  / 3273""  on other side (Sotheran: see Gould 969).",,"Very finished painting; changed head position sketched in, with now illegible note (not followed in published plate); at head of sheet: ""L2-10- "" (not Sotheran's usual way of indicating price, and not in line with the note overleaf].",Full sheet,,,
997,Eutoxeres condamini,ksrl_sc_gould_0997,ksrl_sc_gould_0997.tif,Eutoxeres,condamini,,1851,pencil and watercolor paint on paper,Eutoxeres condamini,,R,R,G;R,JG;R,HB_1,HB,1,1,4,,,,,,"Layout painting, birds well finished; signed ""JG & HCR, 1851""; ""1/10/-"" (Sotheran price).  FS."," Signed ""JG & HCR, 1851""",,,"Layout painting, birds well finished;""1/10/-"" (Sotheran price).",Full sheet,,,
